id;parent;date;screen_name;followers;location;country
124273940;124222544;27/11/15 01:05;mrdlf97;51;not public;es
124302592;124222544;27/11/15 01:15;javierzuriaga;1205;not public;es
124302591;124222544;27/11/15 01:17;yeinihno;43;new york, new york;not public
124302590;124222544;27/11/15 01:25;Vitoquive;660;A Coru–a - Galicia - Espa–a;es
124302589;124222544;27/11/15 01:31;volksfighter;137;not public;es
124302588;124222544;27/11/15 01:35;LianaEHE;1252;not public;es
124302587;124222544;27/11/15 01:36;srdanger_;92;not public;es
124302586;124222544;27/11/15 01:38;dvillegas1977;478;Sevilla;es
124302585;124222544;27/11/15 01:42;theanxelmaria;19;Valencia, Comunidad Valenciana;es
124302584;124222544;27/11/15 01:42;alexpolakito;115;not public;es
124302583;124222544;27/11/15 01:43;Pablosti;441;Tomelloso, Ciudad Real, Espa–a;es
124302582;124222544;27/11/15 01:51;rsagrado1;105;not public;es
124302581;124222544;27/11/15 01:56;mariajesuslois;64;not public;es
124302580;124222544;27/11/15 02:04;JUANDEALCZAR;32;Barcelona - Espa–a;es
124302579;124222544;27/11/15 02:06;AinhoaMaestu;120;Persona;es
124302578;124222544;27/11/15 02:13;Txus_46_93;1438;not public;es
124302577;124222544;27/11/15 02:28;leo_dulce;304;TENERIFE;es
124326322;124222544;27/11/15 02:34;LuisromancX;442;Ou-Gz;es
124326321;124222544;27/11/15 02:43;Marcial_Freitas;24;not public;es
124379793;124222544;27/11/15 02:46;SalvaTP96;438;alicante;es
124326320;124222544;27/11/15 02:59;SalvaTP96;438;alicante;es
124326319;124222544;27/11/15 03:07;2001_israel;246;Sevilla;es
124342457;124222544;27/11/15 04:11;PepilloGrito;481;Elche, Alicante, Espa–a;es
124345564;124222544;27/11/15 05:34;volksfighter;137;not public;es
124361437;124222544;27/11/15 06:28;Sergiotas73;613;Valencia, Espa–a;es
124361436;124222544;27/11/15 06:33;tuyque;167;espa–a;es
124361435;124222544;27/11/15 06:42;Goyathlay1980;693;Albacete;es
124361434;124222544;27/11/15 06:42;scarlettdumo;9307;Europa del Sur IV Reich Alem‡n;es
124361433;124222544;27/11/15 06:45;VayekanadeAlba;3559;Vallekas /No MD! por favor!;es
124361432;124222544;27/11/15 06:46;gmargenatp;505;Catalunya;es
124359894;124222544;27/11/15 06:47;Antontxo;1189;Las Rozas Madrid (Espa–a);es
124361602;124222544;27/11/15 06:48;CarloSccci;22;not public;es
124361602;124222544;27/11/15 06:48;CarloSccci;22;not public;es
124361431;124222544;27/11/15 06:50;juanjesusg40;297;not public;es
124361430;124222544;27/11/15 06:52;EstherResa;133;Lliçˆ d'Amunt, Catalu–a;es
124361429;124222544;27/11/15 06:53;guillen_peralta;552;Arag—n;es
124361428;124222544;27/11/15 06:53;Guilhelmdaran;242;Catalunya;es
124361427;124222544;27/11/15 06:56;mencmedi;915;not public;es
124361426;124222544;27/11/15 07:01;genov72;439;not public;es
124379748;124222544;27/11/15 07:15;melena40170393;1287;not public;es
124379747;124222544;27/11/15 07:21;marponcela;26;not public;es
124379746;124222544;27/11/15 07:25;PodemosLeganes;3708;Legan_s (Madrid);es
124379745;124222544;27/11/15 07:27;mirandamayte;1756;Sevilla;es
124379744;124222544;27/11/15 07:39;marmotasocial2;1504;Donostia;es
124379743;124222544;27/11/15 07:41;PodemosNarcea;252;not public;es
124379742;124222544;27/11/15 07:41;veranoaz;1823;Le Coeur Dans La Tête;es
124379741;124222544;27/11/15 07:42;mafalda1pao;18;not public;es
124379740;124222544;27/11/15 07:45;paulopbra;56;not public;es
124379739;124222544;27/11/15 07:48;yansi00;1687;Toledo;es
124379738;124222544;27/11/15 07:50;andrs_moriel;756;not public;es
